Bucket,Month,ConvArea,GeoArea,Delta,SpComplexity,SpDensity,Service_Time
51,1,243.85793686346136,0.5660086628438888,9.75801611681246,0.0004202440505072392,0.007245027306190222,48.06781415343915
52,1,234.2426313816671,0.6047349148055332,9.823592173022535,0.00043457399801769,0.00705941995576444,55.74170634920633
53,1,272.16074563008516,0.5603774958617473,9.786360921861984,0.00037545101726927613,0.006556828549702988,126.75310648148152
54,1,324.9886873772443,0.48242897305829757,9.692787433531397,0.00031745565488833287,0.006378203537193606,117.88218518518522
55,1,273.68380440939825,0.5458335820545023,10.399409981085787,0.0003513518153819205,0.006694076172452343,91.5943959435626
56,1,275.2446553045227,0.5750890625742958,10.401013652033921,0.00034930551213778493,0.006317510863817615,69.90560069444444
57,1,247.34095966109467,0.5099680301973063,9.807442635197056,0.00041223815139699086,0.007927951915537591,138.19844444444442
58,1,204.17181555435405,0.5745516369967492,10.203653423587209,0.00048000803845702736,0.00852462224379519,64.73613492063492
59,1,238.88058668954534,0.5173878708108112,9.926346900743765,0.0004217253374137249,0.008091013013972598,49.594087962962966
60,1,246.69612985592312,0.49617410248463756,9.733017781074718,0.0004164761603349379,0.008169652252374824,42.63824074074074
61,1,247.48663667207484,0.5649888165164362,9.795066271305958,0.000412516066230413,0.007151685287540177,126.06391975308644
62,1,259.5250694176456,0.5411845232563964,10.152660653328553,0.0003795253712199954,0.007119923312181707,69.66236111111111
63,1,333.7865063817657,0.543528965889868,10.06804508715774,0.00029756789465855096,0.005511991389470755,153.11286689814813
64,1,254.29132709489838,0.6977500816276271,9.856046181870962,0.00039899340929314955,0.005635968481841192,53.20221494708994
65,1,241.01497749269498,0.6862751397116346,10.266732334748115,0.00040413245437819043,0.006045854638751886,62.73225115740741
66,1,278.42915911234587,0.6167147086987118,9.611846574807862,0.000373661587257917,0.005823726590209961,53.079538800705485
67,1,318.03722231514934,0.6964649389010811,9.992508910400892,0.0003146643223896511,0.004514636515981791,140.48689197530865
68,1,314.0252583088679,0.6432466664689919,10.018601280037961,0.00031785447165094254,0.004950600419009605,82.20149971064815
69,1,306.35376300629116,0.6141126424526381,10.15506931447582,0.00032143553644629094,0.005315311763834185,71.06695
70,1,300.5057273304571,0.6717241949274088,10.003009198145362,0.0003326722520704634,0.004954002881775302,51.73727314814815
71,1,329.4455842874545,0.7694892116472579,9.744899570007004,0.00031148629387896124,0.0039446981261585575,48.16720341435186
72,1,328.9246237701717,0.685000234040528,10.27689266837669,0.00029582971328050405,0.004438261566083664,58.729124338624345
73,1,311.0842889384116,0.6902236461270098,10.055195578528718,0.0003196917285108446,0.0046572772072530945,14.956010802469136
74,1,279.05566506251023,0.6556160799181798,9.600244957779893,0.0003732732275803534,0.005465873291881024,96.01300198412697
75,1,250.37499538790036,0.5192005186877181,9.27642439822875,0.00043055480092691223,0.007692613771241618,24.093809523809522
76,1,237.92244437238733,0.627010961520724,9.466707107387778,0.00044398228943754966,0.00670331230697923,70.6038048941799
77,1,250.08185220761803,0.5951447076814317,9.446553875914256,0.0004232962460013426,0.0067188546612504734,38.59762905092594
78,1,240.7599023047004,0.5861270235658955,9.391003864378776,0.0004422866413568002,0.007086374439580604,74.06288194444444
79,1,229.2974314420528,0.5418602361837699,9.617751439289233,0.0004534477603108191,0.008048473680384239,65.45411375661374
80,1,232.899869765706,0.5393453851552753,9.719512993049392,0.0004417598579549103,0.007960929670259936,15.451712962962963
81,1,228.48106389065035,0.4807415765521294,8.914424072418589,0.0004909717425362471,0.009104122742892887,45.29587301587303
82,1,265.02765961251106,0.5549988278942747,9.893668268793972,0.00038137432678648256,0.006798556836193652,107.68916335978835
83,1,239.2136096065566,0.6632265932836919,9.469399556069662,0.00044146032010587916,0.006303070777870411,26.745451388888885
84,1,266.9413291169403,0.6044171190554646,9.791882843543323,0.00038257622086672875,0.006197940818265931,80.52848148148148
85,1,246.45367671571216,0.5901582537772386,10.021023681154293,0.00040490450613747073,0.006875372188120316,75.2612388888889
86,1,270.3085005363558,0.6753122772054132,9.95905500796988,0.0003714686482520997,0.0054781718422003255,88.88384353741496
87,1,290.69230829002447,0.6372368908798968,9.403336184189879,0.00036583436286955926,0.005398406073197264,77.14913194444443
88,1,266.9075128954841,0.6639797972114864,9.408772027675624,0.00039820458451797415,0.005642665894112381,91.80975198412696
89,1,268.6317850687059,0.6955812175563244,9.207282596906106,0.0004043068774532384,0.005351736910985837,27.448821759259257
90,1,272.2503890027641,0.6307215836227508,8.994764631475924,0.00040835858239809546,0.0058236303137376,101.14668055555558
91,1,264.2051479061499,0.6750290753787205,9.727353029578676,0.0003891025230047306,0.005607073449159593,99.58411574074073
92,1,291.29581252695874,0.6915344924007101,9.658717352490404,0.00035542363251890184,0.004964230193316623,54.25880415013227
93,1,328.9274702432999,0.6045144529666622,9.381896593873435,0.0003240479013709386,0.005029133525599104,42.39213734567901
94,2,295.3835997543699,0.6469567645646425,9.584771610431993,0.0003532090741950475,0.005232850929644147,24.540023148148144
95,2,324.200007043729,0.6004499323505836,9.963820620423277,0.00030957157716107964,0.005137007263768947,41.06891005291005
96,2,313.65940205925824,0.5530604324948879,9.657993085577951,0.0003301070500904834,0.005764598984043019,51.198824074074075
97,2,320.6965953367854,0.5989192514527629,10.04587875477102,0.00031039714529915017,0.005206398157913014,78.35304894179895
98,2,327.47896287497093,0.5797395499943593,10.04124744179575,0.00030410875578199253,0.0052672467594341845,63.26287698412698
99,2,307.000915536079,0.49422930539716364,10.102009264879154,0.000322442713210304,0.006590704437539727,65.06864417989418
100,2,308.1839593569201,0.5182608268587444,10.51202879250888,0.0003086764009063787,0.006260969468912347,68.82784060846559
101,2,310.1981512710345,0.537086559439671,10.494880573087144,0.00030717318014260986,0.006002283587612633,15.248692129629632
102,2,303.3946520952233,0.5108710133685938,10.080957475978833,0.0003269567411084918,0.0064517988246501545,16.08432098765432
103,2,303.20241160112425,0.49999701712057254,10.451307829982445,0.000315570726191869,0.006596292955017759,33.835030864197535
104,2,339.025791029432,0.5199184118890781,9.834430567685176,0.0002999287127156016,0.005673251866075606,67.33935763888888
105,2,336.05922623638895,0.5399350103356665,9.503675680986147,0.0003131068504145228,0.00551115579259207,46.52236496913579
106,2,323.5255492728801,0.5331208692972477,9.866471054833907,0.00031327776419076047,0.00579783341925005,47.525005787037045
107,2,281.90509482050203,0.47456808935493855,9.326741974792029,0.0003803357182717258,0.007474782202358517,49.05677314814816
108,2,304.09556859545205,0.44261355448973727,9.955289514765568,0.00033032087025034666,0.007429596004809567,106.625296875
109,2,299.35250577785825,0.49892495805854964,10.500794246319211,0.0003181229149469951,0.006695482398588856,51.473697089947095
110,2,301.7369461526612,0.46130630821777463,10.418260687330962,0.0003181092437539231,0.007184261236925313,15.295810185185182
111,2,297.2053573730136,0.4754765132804253,9.578364281560498,0.00035127886133585817,0.007076431336372269,57.77948247354497
112,2,298.52072187566375,0.5089114457390554,9.217674845125185,0.0003634160741882919,0.006582385272343047,53.68456349206349
113,2,270.85757205440143,0.5877790262093117,9.460708821128843,0.0003902431986756404,0.006281233435473813,38.17824603174603
114,2,292.37875252287387,0.5958766318249211,9.312724326678286,0.00036726322538035186,0.00573981423439819,47.64193865740741
